title,year,type,abstract,main_class,sub_class,third_class
Social network site recommender system and method,2016-01-01,Grant,"A document management system monitors proposed recipients for documents and provides recommendations on alterations to the distribution set, such as by adding or removing recipients.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Proximity synchronization of audio content among multiple playback and storage devices,2011-01-01,Grant,"A wireless communication system and in particular to a wireless communication system for digital audio players that provides for increased functionality, such as communication, interaction and synchronization between a computing platform and various mobile, portable or fixed digital audio players, as well as providing a communication link between the various digital audio players themselves. The computing platform may act, for example, through a wireless network or wireless communication platform, to control the digital audio players; to act as a cache of digital audio data for the digital audio players; as well as provide a gateway to the Internet to enable the digital audio players to access additional digital audio content and other information.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,BROADCAST COMMUNICATION
Managing electronic messages sent to reply telephone numbers,2014-01-01,Grant,A graphical user interface on a display device of a computer enables communications using a computer service. The graphical user interface includes a list of potential message recipients selected by a user as significant to the user. The graphical user interface also includes a mobile device identifier associated with one or more of the listed potential message recipients and a user account identifier associated with one or more of the listed potential message recipients. At least one of the listed potential recipients includes a mobile device identifier as the only available conduit for data delivery to the potential message recipient using the computer service.,ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Fine and coarse parameter beam forming,2016-01-01,Grant,"Methods, systems and apparatuses for selecting parameters of a beam are disclosed. One method includes selecting, by a network controller of a wireless network, coarse beam parameters of each of a plurality of antenna arrays of a first node or a second node of the wireless network based on one or more static parameters of the first node and the second node, selecting, by at least one of the first node or the second node of the wireless network, fine beam parameters of each of the plurality of antenna arrays of the first node or the second node based on perturbations to dynamic parameters of at least one wireless link between the first node and the second node, and forming at least one beam by at least one of the first node or the second node using the coarse beam parameters and the fine beam parameters.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TRANSMISSION
Data replication in a tree based server architecture,2015-01-01,Grant,"The disclosure is directed to data replication in a distributed computing system. The data, e.g., received from a client, is replicated to a first set of servers (“sync replica set”) synchronously and to a second set of servers asynchronously (“async tree”). A server can be a primary, secondary or a follower server. A sync replica set includes a primary server and one or more secondary servers. The async tree includes multiple follower servers deployed in a tree structure. A primary server can replicate the data to the secondary servers synchronously, and the secondary servers can replicate the data to one or more follower servers, e.g., a root node of the async tree, asynchronously. The root node then replicates the data to children of the root node, which then replicate to their children and so on until the leaf nodes of the async tree receive the data.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Seamless codec switching,2017-01-01,Grant,"In various embodiments, a corpus of codecs may be correlated with different, partially overlapping ranges of transmission characteristics. As channel conditions degrade or improve, the system may select a new codec with which to continue the connection based upon the corresponding overlapping range. Codecs may not be switched immediately when the transmission characteristics enter overlapping ranges, to avoid degrading the user's experience. If the characteristics remain in the overlap, or manifest a likely progression toward another region, then the transition may be effected.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TELEPHONIC COMMUNICATION
Predicted-location notification,2012-01-01,Grant,"In one embodiment, a method includes determining a geo-location of a first user; and identifying a second user that the geo-location of the first user is of interest to. The second user is identified based at least in part on a relationship between the first and second users. The method also includes sending to a mobile client computing device associated with the second user a notification associated with the geo-location of the first user.",,ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE
Location-based content aggregation and distribution,2018-01-01,Grant,"In one embodiment, a method includes storing one or more content postings that each include data representative of one or more content instances, where each content posting is associated with one or more first users and each content posting is associated with a geographic location corresponding to a content creation event of the content posting. The method also includes selectively sending one or more of the content postings for display on an access device based on a past or present geographic location of the access device, where the access device is associated with a second user and for each content posting selectively sent for display on the access device, the geographic location associated with the content posting being within a predefined proximity of the past or present geographic location of the access device is requisite to the content posting being sent for display on the access device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Audio system and method,2016-01-01,Grant,"Embodiments relate to, for a scene comprising a representation of at least one object and at least one sound source: obtaining a decomposition of the at least one object, the decomposition comprising at least one geometric component; modelling at least one interaction of the at least one object and the at least one sound source using the at least one geometric component; and, in dependence on the modelling of the at least one interaction, processing an audio input associated with the at least one sound source to obtain an audio output.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,STEREOPHONIC SYSTEMS
Systems and methods for user account recovery,2015-01-01,Grant,"Systems, methods, and non-transitory computer-readable media can determine a request to recover access to an account of a first user, the request being received from a computing device of a second user. A determination is made that the first user and the second user are recognized as social connections by a social networking system. The first user is authenticated through the computing device of the second user based at least in part on the first user and the second user being recognized as social connections. A login session is established between the computing system and the computing device of the second user upon authenticating the first user.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Recommending objects to a social networking system user based in part on topics associated with the objects,2015-01-01,Grant,"A social networking system recommends pages or other objects to a user with which the user may establish a connection to receive content associated with an object. Candidate objects may be identified by the social networking system as objects connected to additional users who are connected to an object connected to the user. To recommend objects with which the user is likely to have an interest, the social networking system extracts one or more topics from the object connected to the user and from various candidate objects. Based on a topic graph, the social networking system determines measures of relatedness between topics extracted from various candidate objects and an object connected to the user. The measures of relatedness are then used to select one or more of the candidate objects to identify to the user.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Systems and methods for dynamically generating emojis based on image analysis of facial features,2015-01-01,Grant,"Systems, methods, and non-transitory computer-readable media can acquire real-time image data depicting at least a portion of a face of a user of a computing system (or device). The real-time image data can be analyzed to determine a state associated with at least the portion of the face. An emoji can be provided based on the state associated with at least the portion of the face. The emoji can be inputted in a communication to be made by the user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
Systems and methods for analyzing rendered content,2017-01-01,Grant,"Systems, methods, and non-transitory computer-readable media can obtain data corresponding to a first content item. The first content item can be rendered for display. The first content item can be presented through a display interface. A screenshot image of the display interface can be captured while the first content item is being presented. A determination is made whether the first content item was incompletely rendered based at least in part on the screenshot image.",PHYSICS,COMPUTING; CALCULATING; COUNTING,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
Substantially continuous location logging for geographic-positioning capable devices,2016-01-01,Grant,"In one embodiment, a mobile computing device has a first processor and a second processor. The mobile device determines an operating condition of the mobile device, the operating condition being based on at least the current time of day, a current activity of a user associated with the mobile device, or a current proximity of the mobile device to a place connected to the user of the mobile device through an on-line social network. If the operating conditions of the mobile device are satisfied, the first processor of the mobile device sends a message to the second processor of the mobile device, the message causing the second processor to transition from a sleep state to an active state.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS
Cache efficiency by social graph data ordering,2015-01-01,Grant,"Embodiments are disclosed for improving cache or memory efficiency of a social network system. A method according to some embodiments includes steps of: receiving an instruction to improve cache or memory efficiency of social graph data of a social graph; generating based on the social graph a partitioning tree including multiple bottom-level buckets, the partitioning tree dividing the vertices of the social graph into the bottom-level buckets and ordering the bottom-level buckets such that a social network metric regarding the vertices is optimized; assigning user IDs to the vertices of the social network in a numerical sequence based on the ordering of the bottom-level buckets; storing the social graph data of the users in storage locations in an order according to the numeral sequence of the assigned user IDs of the vertices.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
"Modular network switches, associated structures, and associated methods of manufacture and use",2016-01-01,Grant,"Modular network switches and other computer systems are described herein. A modular network switch can include a latching device for installing and removing computer modules (e.g., line cards) from an associated cabinet or enclosure. The network switch can also include interconnected computer modules (e.g., line cards, fabric cards, control modules, etc.) that include circuit boards oriented parallel to the flow of cooling air through the cabinet in the absence of a backplane or midplane oriented perpendicular to the air flow. The absence of such backplanes and/or midplanes provides a more direct air flow path through the cabinet, thereby enabling a more efficient flow of cooling air and lower operating temperatures. Additionally, the network switch can include an orthogonal arrangement of data planes, control planes, and/or power planes that can be efficiently interconnected to increase operational speed and further facilitate the flow of cooling air through the computer cabinet.",ELECTRICITY,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS
Crowdsourcing translations,2017-01-01,Grant,"In one embodiment, a method includes accessing, by one or more of the computing devices, one or more translations for each text string of a plurality of text strings; determining, by one or more of the computing devices, a priority value for each text string of the plurality of text strings, wherein the priority value for the text string is based on one or more reliability-values of the one or more translations for the text string; selecting, by one or more of the computing devices, a particular text string from the plurality of text strings based on its priority value; and sending, to a client system, instructions configured to present a translation prompt comprising the particular text string.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Training image-recognition systems using a joint embedding model on online social networks,2016-01-01,Grant,"In one embodiment, a method includes identifying a shared visual concept in visual-media items based on shared visual features in images of the visual-media items; extracting, for each of the visual-media items, n-grams from communications associated with the visual-media item; generating, in a d-dimensional space, an embedding for each of the visual-media items at a location based on the visual concepts included in the visual-media item; generating, in the d-dimensional space, an embedding for each of the extracted n-grams at a location based on a frequency of occurrence of the n-gram in the communications associated with the visual-media items; and associating, with the shared visual concept, the extracted n-grams that have embeddings within a threshold area of the embeddings for the identified visual-media items.",PHYSICS,COMPUTING; CALCULATING; COUNTING,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
Sharing television and video programming through social networking,2017-01-01,Grant,"In particular embodiments, one or more computer systems of a social-networking system determine identities of one or more users in proximity to a display device and query a social graph of the social-networking system for social content associated with the determined identities. The social graph includes nodes and edges connecting the nodes. The nodes include user nodes that are each associated with a particular user of the social-networking system. The one or more computer systems of the social-networking system identify, using the social content, recommended media content for the one or more users in proximity to the display device and provide a playlist for display on the display device. The playlist includes the recommended media content for the one or more users in proximity to the display device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"PICTORIAL COMMUNICATION, e.g. TELEVISION"
"Method, medium, and system for enabling gift card transactions",2013-01-01,Grant,"One variation of the first method includes: receiving a first gift order from a first sender through a social networking system, the first gift order specifying a recipient, a first merchant, and a first monetary value redeemable through the first merchant; issuing a tangible gift card to the recipient, the gift card linked to a gift account, of the recipient, within the social networking system; receiving a second gift order from a second sender through the social networking system, the second gift order specifying the recipient, a second merchant, and a second monetary value redeemable through the second merchant; linking the first and second monetary values to the gift account; and, in response to a first purchase from the first merchant with the gift card, publishing a detail of the first purchase to a feed within the social networking system in accordance with a privacy setting of the recipient.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Managing notifications pushed to user devices,2017-01-01,Grant,"In one embodiment, a computing device determines a communication to be sent to a client computing device. The communication could be a push notification or a keep-alive message from a social-networking system, the client computing device being associated with a user of the social-networking system. The computing device determines that a plurality of network connections already exists between the social-networking system and the client computing device, wherein at least one of the network connections is reserved for, and dedicated exclusively to, sending or receiving notifications or keep-alive messages. The computing device sends the communication to the client computing device using the reserved and dedicated network connection.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Controlling a near eye display,2014-01-01,Grant,"A method and a system for controlling a near eye display using a virtual navigation space are provided herein. The system may include: a wearable near eye display; a sensor having a field of view, attached to the wearable near eye display and configured to capture a scene; a transmitter attached to the wearable near eye display said transmitter is configured to transmit a structured light pattern onto a navigation space, wherein the sensor is configured to capture reflections of the specified pattern coming from the navigation space; and a computer processor configured to analyze said reflections and control a visual indicator presented to a user over the wearable near eye display. The method implements the aforementioned logic without being limited to the architecture.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
Determining and providing feedback about communications from an application on a social networking platform,2012-01-01,Grant,"A social networking system (SNS) may determine the integrity of a social application. In particular, the SNS can receive communications and tags associated with different subsets of the communications from the social application. Thereafter, the SNS can distribute the communications, and monitor for user interactions performed on the communications. Subsequently, feedback indicating the integrity of the social application can be provided. The feedback can be based on the user interactions performed on the communications. The feedback can also be provided according to the tags. In particular, a set of feedback information can be provided for each tag, where the set is based on the user interactions performed on the subset of communications associated with the tag. By providing feedback in this manner, A-B testing can be performed. In one embodiment, the operating state for the social application can be determined based on the integrity of the SNS.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
"Method and apparatus for trust-based, fine-grained rate limiting of network requests",2010-01-01,Grant,"A method and apparatus for fine-grained, trust-based rate limiting of network requests distinguishes trusted network traffic from untrusted network traffic at the granularity of an individual user/machine combination, so that network traffic policing measures are readily implemented against untrusted and potentially hostile traffic without compromising service to trusted users. A server establishes a user/client pair as trusted by issuing a trust token to the client when successfully authenticating to the server for the first time. Subsequently, the client provides the trust token at login. At the server, rate policies apportion bandwidth according to type of traffic: network requests that include a valid trust token are granted highest priority. Rate policies further specify bandwidth restrictions imposed for untrusted network traffic.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Detecting distorted audio signals based on audio fingerprinting,2016-01-01,Grant,"An audio identification system generates a probe audio fingerprint of an audio signal and determines amount of pitch shifting in the audio signal based on analysis of correlation between the probe audio fingerprint and a reference audio fingerprint. The audio identification system applies a time-to-frequency domain transform to frames of the audio signal and filters the transformed frames. The audio identification system applies a two-dimensional discrete cosine transform (DCT) to the filtered frames and generates the probe audio fingerprint from a selected number of DCT coefficients. The audio identification system calculates a DCT sign-only correlation between the probe audio fingerprint and the reference audio fingerprint, and the DCT sign-only correlation closely approximates the similarity between the audio characteristics of the probe audio fingerprint and those of the reference audio fingerprint.",PHYSICS,MUSICAL INSTRUMENTS; ACOUSTICS,SPEECH ANALYSIS OR SYNTHESIS; SPEECH RECOGNITION; SPEECH OR VOICE PROCESSING; SPEECH OR AUDIO CODING OR DECODING
Tilting to scroll,2016-01-01,Grant,"In one embodiment, a method includes sending information to display a visual content; determining a scroll range for the visual content based on dimensions of the visual content; determining an origin position within the visual content from which the visual content is configured to be scrolled, wherein the origin position is determined based on a type of an application associated with the visual content; receiving an initial tilt measurement of a client computing device; receiving a second tilt measurement of the client computing device; determining a progress parameter based on at least the scroll range, the origin position, the initial tilt measurement, and the second tilt measurement; and sending information to scroll the visual content based on the progress parameter.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Identification of low-quality place-entities on online social networks,2016-01-01,Grant,"In one embodiment, an online social network accesses a social graph that includes a number of place-entity nodes each corresponding to a place-entity, and a number of user nodes each corresponding to a user. A heterogeneous graph is generated based on the place-entity nodes, user nodes, and n-gram nodes, each n-gram node corresponding to an n-gram in the name of at least one place-entity. Each n-gram node is connected to corresponding place-entity nodes containing the n-gram, and user nodes with a social networking interaction with the corresponding place-entity nodes. Each place-entity node is assigned an initial quality-score. The quality-scores are propagated through the redirection graph based on the connections between the place-entity nodes, the n-gram nodes, and the user nodes. A final quality-score is assigned to each place-entity node when the propagation of the quality-scores through the redirection graph reaches convergence.",,PHYSICS,COMPUTING; CALCULATING; COUNTING
Dynamic eye tracking calibration,2017-01-01,Grant,"A user of a computing device may interact with and control objects and applications displayed on the computing device through the user's eye movement. Detected gaze locations are correlated with actions performed by the user and compared with typical gaze locations for those actions. Based on differences between the detected and expected gaze locations, the eye tracking system can be recalibrated. An area around a gaze location encompassing a set of likely active locations can be enlarged, effectively prompting the user to interact with the desired active location again. The enlarging of the area serves to separate the active locations on the screen, reducing the probability of interpreting the user's gaze incorrectly.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Systems and methods for sharing of media sessions within a social network,2016-01-01,Grant,"In one embodiment, a first computing device associated with a receiving user receives, from a second computing device, a reference of a first media session that has been initiated by a sharing user. The reference is displayed to the receiving user on a user interface of the first computing device. The first computing device receives user input requesting that the receiving user also participate in the first media session. The first computing device then receives from the second computing device information to initiate a second media session on the first computing device. The second media session is initiated at the same point in time that the first media session is currently at, and the second media session is synchronized with the first media session.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Smart positioning of chat heads,2016-01-01,Grant,"In particular embodiments, a client computing device of a user provides for presentation a user interface that includes one or more components. The client computing device may receive an indication of a message to the user. The client computing device may automatically modify the user interface to accommodate presentation of an interactive element associated with the message. The client computing device may modify the user interface at least in part by automatically modifying one or more of the components. The client computing device may automatically provide for presentation the user interface as modified and the interactive element associated with the message.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Post-to-post profile control,2013-01-01,Grant,"Multimedia content is featured on user pages of an online social network using embed codes that are generated using a configuration file associated with the source ID for the multimedia content and a content ID for the multimedia content. The configuration file, the source ID and the content ID are stored locally by the online social network so that any changes to the embed codes can be made by changing the configuration file associated with the source and regenerating the embed codes. By managing multimedia content in this manner, greater control can be exercised by the online social network over the multimedia content that are featured on its user pages.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Three-dimensional gestures,2016-01-01,Grant,"In one embodiment, a method includes identifying a gesture made by a user of the computing device with respect to one or more surfaces of the computing device, the gesture comprising a single trajectory in three dimensions including: an earlier portion in a first direction along at least one of the surfaces; and immediately following the earlier portion of the single trajectory, a later portion in a second direction comprising a second series of points distant from the surfaces, wherein the second direction comprises a deflection from the first direction that follows through on the earlier portion of the single trajectory; determining a user input based at least in part on a speed of the gesture along the earlier portion of the single trajectory and a speed of the gesture along the later portion of the single trajectory; and executing one or more actions based on the user input.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Classifying languages for objects and entities,2017-01-01,Grant,"Technology for media item and user language classification is disclosed. Media item classification may use models for associating language identifiers or probability distributions for multiple languages with linguistic content. User language classification may define user language models for attributing to users indications of languages they speak read, and/or write. The text classifications and user classifications may interact because the probability that given text is in a particular language may depend on a determined likelihood the user who produced the text speaks that language, or conversely, a user interacting with text in a particular language may increase the likelihood they understand that language. Some embodiments use language-tagged social media content to train n-gram classifiers for use with other social media content.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Quick response (QR) secure shake,2016-01-01,Grant,"In one embodiment, a first computing device of a first user of a social-networking system may acquire a tag associated with a second computing device of a second user of the social-networking system, and process the tag for user information comprising a time stamp, a signature, and a social action associated with the social-networking system. The first computing device of a first user may send the information to a computing device of the social-networking system for verification of the user information of the second user. In addition, the first computing device of the first user may receive, in response to the verification, instructions for initiating the social action. The social action as initiated may include a transaction between the at least one node corresponding to the first user and the at least one node corresponding to the second user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
