abstract,applicant,date_filed,inventor,p_num,title,type,url
"Exemplary embodiments provide techniques for evaluating when words or phrases of a translation were generated with a low degree of confidence, and conveying this information when the translation is presented. For example, if a source language word is encountered in source material for translation, but the source language word was only encountered a few times (or not at all) in the training data used to train the translation system, then the resulting translation may be flagged as being of low confidence. Other situations, such as the generation of two equally-likely translations, or translation system model disagreement, may also indicate a questionable translation. When the translation is displayed, questionable words and phrases may be flagged, and possible alternative translations may be presented. If one of the alternatives is selected, this information may be used to update the translation system's models in order to improve translation quality in the future.","FACEBOOK, INC.","June 24, 2016","William Arthur Hughes, Matthias Gerhard Eck, Kay Rottmann",20170371867,IDENTIFYING RISKY TRANSLATIONS,Application,https://patents.justia.com/patent/20170371867
"Exemplary embodiments relate to techniques for improving machine translation systems. The machine translation system may apply one or more models for translating material from a source language into a destination language. The models are initially trained using training data. According to exemplary embodiments, supplemental training data is used to train the models, where the supplemental training data uses in-domain material to improve the quality of output translations. In-domain data may include data that relates to the same or similar topics as those expected to be encountered in a translation of material from the source language into the destination language. In-domain data may include material previously translated from the source language into the destination language, material similar to previous translations, and destination language material that has previously been the subject of a request for translation into the source language.","FACEBOOK, INC.","June 27, 2016",Matthias Gerhard Eck,20170371866,LANGUAGE MODEL USING REVERSE TRANSLATIONS,Application,https://patents.justia.com/patent/20170371866
"Exemplary embodiments relate to techniques for selecting translators willing to provide high-quality translations for a cause, organization, or individual. Users having a high level of engagement with the cause, organization, or individual may be identified as translator candidates. For example, the user may actively engage with the organization or individual on social media, or may be interested in the topics discussed in the source document. The translators may be evaluated based on the quality of their previous translations and their level of engagement/interest. The translator candidates may be directly connected with the originator of the request to translate the document. Because exemplary embodiments select highly engaged users to translate the source document, the resulting translation is likely to be of higher quality, and produced at a lower cost, than a translation by a non-engaged user, and user participation and awareness of a cause, organization, or individual may be increased.","FACEBOOK, INC.","June 24, 2016","Ying Zhang, Aram Grigoryan",20170371869,CROWD-MATCHING TRANSLATORS,Application,https://patents.justia.com/patent/20170371869
"Exemplary embodiments relate to detecting, removing, and/or replacing objectionable words and phrases in a machine-generated translation. A classifier identifies translations containing target words or phrases. The classifier may be applied to the output translation to remove target words and phrases from the translation, or to prevent target words and phrases from being automatically presented. Further, the classifier may be applied to a translation model to prevent the target words and phrases from appearing in the output translation. Still further, the classifier may be applied to training data so that the translation model is not trained using the target words of phrases. The classifier may remove target words or phrases only when the target words or phrases appear in the output translation but not the source language input data. The classifier may be provided as a standalone service, or may be employed in the context of a machine translation system.","FACEBOOK, INC.","June 24, 2016","Matthias Gerhard Eck, Priya Goyal",20170371870,MACHINE TRANSLATION SYSTEM EMPLOYING CLASSIFIER,Application,https://patents.justia.com/patent/20170371870
"Techniques to use operating system redirection for network stream transformation operations are described. In one embodiment, an apparatus may comprise a network stream component operative to receive a network stream, the network stream associated with an application on a device; modify the network stream to generate a modified network stream; and send the modified network stream through an operating system for the device; and a local virtual private network component operative on the processor circuit to: receive the modified network stream from the operating system as a plurality of modified network stream packets; determine a network connection policy based on the application; and send the plurality of modified network stream packets to a destination network address via the network interface controller when the network connection policy indicates sending. Other embodiments are described and claimed.","FACEBOOK, INC.","June 20, 2016",Gahl Saraf,20170366508,TECHNIQUES TO USE OPERATING SYSTEM REDIRECTION FOR NETWORK STREAM TRANSFORMATION OPERATIONS,Application,https://patents.justia.com/patent/20170366508
"Exemplary embodiments relate to techniques for introducing asynchronous messaging concepts into a synchronous messaging system. As a conversation is carried out, different topics may be identified and highlighted as separate threads within the conversation. A new thread may be identified based on a number of factors, including (for example) time between messages, questions raised in a communication, discussions of dates, the inclusion of links, and any mentions of specific names. Further embodiments relate to techniques for navigating in asynchronous message threads. For example, a synchronous message alias may be created that redirects a display to a location of an asynchronous message. An indication may be displayed to designate that the asynchronous message is displayed out-of-order.","FACEBOOK, INC.","June 1, 2016","Eric Carl Ertmann, Charles Donald Deets, JR., Daniel M. Giuditta",20170353414,Methods and Systems for Displaying Messages in an Asynchronous Order,Application,https://patents.justia.com/patent/20170353414
"Techniques for ephemeral messaging with remote ephemeral mode configuration are described. In one embodiment, an apparatus may comprise a messaging component operative to receive a messaging update at a messaging client on the client device from a messaging system; determine a message thread associated with the messaging update; and determine that the messaging update indicates a transition to an ephemeral mode for the message thread; and a user interface component operative to configure a user interface for the message thread to an ephemeral mode interface based on the transition to the ephemeral mode for the message thread. Other embodiments are described and claimed.","FACEBOOK, INC.","June 7, 2016","Evan Gabriel Brooks, Alexander Salem Franklin, Matthew Steiner",20170353416,TECHNIQUES FOR EPHEMERAL MESSAGING WITH REMOTE EPHEMERAL MODE CONFIGURATION,Application,https://patents.justia.com/patent/20170353416
"Exemplary embodiments relate to techniques for introducing asynchronous messaging concepts into a synchronous messaging system. As a conversation is carried out, different topics may be identified and highlighted as separate threads within the conversation. A new thread may be identified based on a number of factors, including (for example) time between messages, questions raised in a communication, discussions of dates, the inclusion of links, and any mentions of specific names. The beginning and/or end of a thread may be identified. Users may be notified of new messages on a thread-by-thread basis.","FACEBOOK, INC.","June 1, 2016","Eric Carl Ertmann, Charles Donald Deets, JR., Daniel M Giuditta",20170351385,Methods and Systems for Distinguishing Messages in a Group Conversation,Application,https://patents.justia.com/patent/20170351385
"Exemplary embodiments relate to techniques for determining social networking or messaging user affinity and engagement coefficients (e.g., a measure of the connectedness between two people in a network). The described techniques are particularly well-suited to cases in which only limited information is available, such as when a new user joins a network and only the user's contacts list is available. The available information may be used to determine a group of existing users to which the new user is connected. Some embodiments relate to calculating scores among these existing users in order to infer an affinity for the new user to the existing users. Other embodiments involve calculating bilateral scores that reflect a degree of mutual affinity between two users.","FACEBOOK, INC.","May 27, 2016","Ariel Benjamin Evnine, Zeev Rosenstein, Han Gyul Lee, Aman Dhesi",20170344610,Methods and Systems for Assigning Affinity Scores to Contacts,Application,https://patents.justia.com/patent/20170344610
"Exemplary embodiments relate to techniques for determining social networking or messaging user affinity and engagement coefficients (e.g., a measure of the connectedness between two people in a network). The described techniques are particularly well-suited to cases in which only limited information is available, such as when a new user joins a network and only the user's contacts list is available. The available information may be used to determine a group of existing users to which the new user is connected. Some embodiments relate to calculating scores among these existing users in order to infer an affinity for the new user to the existing users. Other embodiments involve calculating bilateral scores that reflect a degree of mutual affinity between two users.","FACEBOOK, INC.","May 27, 2016","Ariel Benjamin Evnine, Zeev Rosenstein, Han Gyul Lee, Aman Dhesi",20170344553,Methods and Systems for Making Recommendations based on Relationships,Application,https://patents.justia.com/patent/20170344553
"Techniques to convert multi-party conversations to an editable document are described. In one embodiment, an apparatus may comprise a message queue monitoring component operative to monitor a messaging conversation between two or more messaging participants; and analyze the messaging conversation based on a plurality of domain-specific extractors; a domain selector component operative to determine that a domain detection level for a selected extractor exceeds a threshold; and a document component operative to generate an editable document based on the messaging conversation using the selected extractor and assign access permissions to the editable document automatically to the two or more messaging participants. Other embodiments are described and claimed.","FACEBOOK, INC.","May 21, 2016","Sung-eok Jeon, Aliasgar Mumtaz Husain",20170339087,TECHNIQUES TO CONVERT MULTI-PARTY CONVERSATIONS TO AN EDITABLE DOCUMENT,Application,https://patents.justia.com/patent/20170339087
"Techniques for mobile device personalization are described. In an embodiment, user credentials for an online service are received at a mobile device kiosk. The user credentials may be authenticated and, upon authentication, user data associated with the user credentials may be transferred to a mobile device of the mobile device kiosk. The user data may be transferred between the mobile device kiosk and a wireless transmitter embedded on a printed circuit board (PCB) of the mobile device. Further, the user data may be transferred to the mobile device without powering on the mobile device. Once the data transfer is complete, the mobile device may be provided to a user.","FACEBOOK, INC.","June 20, 2016","Yael MAGUIRE, Fraidun AKHI",20170339268,TECHNIQUES FOR MOBILE DEVICE PERSONALIZATION,Application,https://patents.justia.com/patent/20170339268
"Techniques to manage client location detection are described. In one embodiment an apparatus may comprise a location-based services support component and a client management component. The location-based services support component may be operative to determine that a network service is scheduled for a location update from a mobile device, determine a location accuracy based on the network service, and update the network service with a received location of the mobile device. The client management component may be operative to transmit a location request to the mobile device, the location request specifying the location accuracy determined based on the network service and receive a response to the location request from the mobile device, the response comprising the location of the mobile device conforming to the specified location accuracy. Other embodiments are described and claimed.","FACEBOOK, INC.","May 1, 2017","Andrea Vaccari, Yuntao Jia, Pierre Moreels, Matthew Robert Mallozzi, Gabriel Grise, Islam Ismailov",20170332343,TECHNIQUES TO MANAGE CLIENT LOCATION DETECTION,Application,https://patents.justia.com/patent/20170332343
"Techniques to transform network resource requests to zero rated network requests are described. Some embodiments are particularly directed to techniques transform network resource requests on a cellular network to zero rating by replacing the destination of the request with a zero-rated source for the network resource. In one embodiment, for example, an apparatus may comprise a data store and a network access component. The data store may be operative to store a plurality of zero-rating rewrite rules. The network access component may be operative to receive a network request from an application component on the mobile device, the network request for access to a network resource; compare the network resource to the plurality of zero-rating rewrite rules to identify a zero-rating rewrite rule matching the network resource; transform the network request to a zero-rated network request for the network resource using the identified zero-rating rewrite rule; and perform the zero-rated network request.","FACEBOOK, INC.","August 4, 2017","Shaheen A. Gandhi, Luiz Fernando Scheidegger, Breno Pompeu Roberto, Peter Avelino Ruibal, Marcus Erwin Schwartz",20170331959,TECHNIQUES TO TRANSFORM NETWORK RESOURCE REQUESTS TO ZERO RATED NETWORK REQUESTS,Application,https://patents.justia.com/patent/20170331959
"Techniques for device configuration using messaging history information are described. In one embodiment, an apparatus may comprise a contact list component operative to determine a promotion contact list for the user account; a predicted interest component operative to determine a predicted communication interest for each contact on a promotion contact list; a predicted activity component operative to determine a user predicted likelihood of future activeness on the communication system; determine a contact predicted likelihood of future activeness on the communication system for each contact; and a contact ranking component operative to determine the ranking weight for each contact based on the predicted communication interest for each contact on the promotion contact list, the user predicted likelihood of future activeness on the communication system, and the contact predicted likelihood of future activeness on the communication system for each contact on the promotion contact list.","FACEBOOK, INC.","June 20, 2016","Brian Kimball, Kunal Nikhil Modi, Jonathan David Perlow, Peter Henry Martinazzi, Ariel Benjamin Evnine",20170293623,TECHNIQUES FOR DEVICE CONFIGURATION USING MESSAGING HISTORY INFORMATION,Application,https://patents.justia.com/patent/20170293623
"Techniques to predictively respond to user requests using natural language processing are described. In one embodiment, an apparatus may comprise a client communication component operative to receive a user service request from a user client; an interaction processing component operative to submit the user service request to a memory-based natural language processing component; generate a series of user interaction exchanges with the user client based on output from the memory-based natural language processing component, wherein the series of user interaction exchanges are represented in a memory component of the memory-based natural language processing component; and receive one or more operator instructions for the performance of the user service request from the memory-based natural language processing component; and a user interface component operative to display the one or more operator instructions in an operator console. Other embodiments are described and claimed.","FACEBOOK, INC.","March 22, 2016","Jason E. Weston, Antoine Bordes, Alexandre Lebrun, Martin Jean Raison",20170277667,TECHNIQUES TO PREDICTIVELY RESPOND TO USER REQUESTS USING NATURAL LANGUAGE PROCESSING,Application,https://patents.justia.com/patent/20170277667
"Techniques for messaging bots with interactions within a messaging app are described. In one embodiment, an apparatus may comprise a user interface component operative to receive a messaging bot invocation in a message thread display on a client device; invoke a messaging bot interaction user interface on the client device in combination with the message thread display in response to the messaging bot invocation; receive a messaging bot interaction command via the messaging bot interaction user interface; and display a messaging bot interaction response in the message thread display; and a client messaging component operative to transmit the messaging bot interaction command from the client device to a messaging system; and receive the messaging bot interaction response from the messaging system at the client device. Other embodiments are described and claimed.","FACEBOOK, INC.","February 25, 2016",Seth Garrett Steinberg Rosenberg,20170250935,TECHNIQUES FOR MESSAGING BOT APP INTERACTIONS,Application,https://patents.justia.com/patent/20170250935
"Techniques for messaging bots with rich communication are described. In one embodiment, an apparatus may comprise a messaging component operative to receive a message from a client device; and add the message to a message queue; a message queue monitoring component operative to monitor the message queue; detect that the message indicates messaging bot invocation; and submit the message to a bot framework component based on detecting that the message indicates messaging bot invocation; and the bot framework component operative to determine a messaging bot associated with the message; and submit the message to the messaging bot. Other embodiments are described and claimed.","FACEBOOK, INC.","February 25, 2016","Seth Garrett Steinberg Rosenberg, Matthew Steiner, Ilya Sukhar, Pooya Karimian",20170250936,TECHNIQUES FOR MESSAGING BOT RICH COMMUNICATION,Application,https://patents.justia.com/patent/20170250936
Techniques for animating stickers with sound include receiving audio input by a first mobile device; animating a selected image according to an energy level of the audio input using a set of animation frames associated with the selected image in a user interface view of an application executing on the first mobile device; and presenting the animated image concurrently with receiving the audio input. Other embodiments are described and claimed.,"FACEBOOK, INC.","January 20, 2016","Patricia Anne McKenzie, Duckjin Kang, Dwayne B. Mercredi, Aaron Nech",20170206697,TECHNIQUES FOR ANIMATING STICKERS WITH SOUND,Application,https://patents.justia.com/patent/20170206697
"Exemplary embodiments relate to messaging, and in particular address several aspects of initiating a group conversation. When a user interacts with a messaging system, the system determines whether it is likely that the user intends to start a group conversation or a one-to-one conversation. Intent to start a group conversation can be signaled in a number of ways, such as: type of action requested; interactions with particular UI elements; length of message; analysis of previous user preferences; and analysis of a contacts group. Suggested users to add to the group may be dynamically displayed. The group can be selected in a number of ways, including: analysis of social network information; analysis of events or activities in which the user may be engaged; analysis of user affinities; analysis of the current members of the group; analysis of familial or friend relationships; and analysis of previous messaging activity.","FACEBOOK, INC.","January 8, 2016","Andrew Yaoshu Song, Peter Henry Martinazzi, Alexander Ristevski",20170201575,PIVOT INTERFACE ELEMENT FOR A MESSAGING SYSTEM,Application,https://patents.justia.com/patent/20170201575
"Techniques to configure media packages are described. In one embodiment, an apparatus may comprise a client support component operative to receive search term information from a client device at a server device; and configure the client device with a selected one or more high-priority media items; a media server search component operative to transmit the search term information to a plurality of media servers; receive a plurality of media items from the plurality of media servers in response to the transmitting of the search term information to the plurality of media servers; and select the one or more high-priority media items from the plurality of media items based on priority weights; and a media item evaluation component operative to assign the priority weights to each of the plurality of media items. Other embodiments are described and claimed.","FACEBOOK, INC.","December 17, 2015","Alexander Salem Franklin, Matthew Steiner, Seth Garrett Steinberg Rosenberg",20170177643,TECHNIQUES TO CONFIGURE MEDIA PACKAGES,Application,https://patents.justia.com/patent/20170177643
"Techniques to detect foreground processes are described. In one embodiment, for example, an apparatus may comprise a client data reception component operative to receive a series of active process lists from a plurality of client devices via the networking interface controller on the server device; a graph construction component operative to construct a plurality of active process graphs based on the active process lists, wherein each client device is associated with a single active process graph, wherein each node in each of the plurality of active process graphs corresponds to an active process on an associated client device, wherein each pair of connected nodes in each graph corresponds to a concurrence of an associated pair of active processes on an associated client device; and a graph analysis component operative to determine foreground processes based on the constructed active process graphs. Other embodiments are described and claimed.","FACEBOOK, INC.","December 18, 2015","Roee Eilat, Omri Gindi",20170180222,TECHNIQUES TO DETECT FOREGROUND PROCESSES,Application,https://patents.justia.com/patent/20170180222
"Techniques for ephemeral message are described. In one embodiment, an apparatus may comprise a sender inbound messaging component operative to receive an incoming update for a message queue at a client support server for a messaging system from a messaging client on a client device; a legacy client support component operative to determine whether the messaging client supports a client-side time-to-live setting; determine whether the incoming update should be associated with a server-specified time-to-live setting where the messaging client does not support the client-side time-to-live setting; and assign the incoming update the server-specified time-to-live setting where the messaging client does not support the client-side time-to-live setting and where the incoming update should be associated with a server-side time-to-live setting. Other embodiments are described and claimed.","FACEBOOK, INC.","December 10, 2015","Matthew Steiner, Jeremy Fein, Erik Murphy Chutorian, Ting Yang, Alvin Portillo",20170171131,TECHNIQUES FOR EPHEMERAL MESSAGING WITH LEGACY CLIENTS,Application,https://patents.justia.com/patent/20170171131
"Techniques for ephemeral message are described. In one embodiment, an apparatus may comprise a delayed-action worker module operative to wake according to a wake timer; determine a current update object for a delayed-action cursor for a recipient update queue for a messaging system, the delayed-action cursor associated with an action delay for the recipient update queue; determine a delayed-action activity for the current update object; perform the delay-action activity for the current update object; determine a next update object for the delayed-action cursor for the recipient update queue; and determine a next wake timer for the delayed-action worker module based on the action delay and a creation time for the next update object. Other embodiments are described and claimed.","FACEBOOK, INC.","December 10, 2015","Matthew Steiner, Jeremy Fein, Erik Murphy-Chutorian, Ting Yang, Pierre-Luc Bertrand, Neil John Fulwiler",20170171132,TECHNIQUES FOR EPHEMERAL MESSAGING WITH A MESSAGE QUEUE,Application,https://patents.justia.com/patent/20170171132
"Techniques to remotely configure interface settings for messaging clients are described. In one embodiment, an apparatus may comprise a messaging component operative to receive a user interface configuration object at a first messaging client on the first client device, the first messaging client on the first client device associated with a first user account with a messaging system, the user interface configuration object indicating a user interface setting specified at a second messaging client on a second client device, the second messaging client on the second client device associated with a second user account with the messaging system; and a user interface component operative to store the user interface setting in association with a message thread associated with the first user account and the second user account; and display a message thread interface for the message thread based on the user interface setting. Other embodiments are described and claimed.","FACEBOOK, INC.","November 25, 2015","Peter Henry Martinazzi, Richard Kenneth Zadorozny, Jennifer A. Burge, Xiao Ou Wang, Benjamin Eric Hiller",20170147182,TECHNIQUES TO REMOTELY CONFIGURE INTERFACE SETTINGS,Application,https://patents.justia.com/patent/20170147182
"Techniques to configure the network distribution of media compositions for reception are described. An apparatus may comprise a user interface component operative to display a messaging interface in association with a first user account with a messaging system, the messaging interface comprising a visual indicator for a second user account with the messaging system, the visual indicator comprising a media composition availability indicator, the media composition availability indicator associated with an inclusion of the first user account in a media composition distribution group for the second user account; receive a user selection of the media composition availability indicator in the messaging interface; and display the media composition in response to the user selection of the media composition availability indicator; and a messaging component operative to receive a media composition package associated with the first user account, the media composition package comprising the media composition.","FACEBOOK, INC.","November 17, 2015","Peter Henry Martinazzi, Richard Kenneth Zadorozny, Jennifer A. Burge, Christian Xavier Dalonzo",20170142055,TECHNIQUES TO CONFIGURE THE NETWORK DISTRIBUTION OF MEDIA COMPOSITIONS FOR RECEPTION,Application,https://patents.justia.com/patent/20170142055
"Techniques to configure the network distribution of media compositions for transmission are described. An apparatus may comprise a user interface component of a messaging client on a client device operative to receive a media composition via a composition interface, the messaging client associated with a user account with a messaging system; and receive a transmission command via the composition interface; and a messaging component operative to transmit a media composition package from the client device to the messaging system in response to the transmission command, the media composition package comprising the media composition, the media composition package addressed to a media composition distribution group for the user account, the media composition distribution group determined based on, at least in part, a messaging history for the user account with the messaging system. Other embodiments are described and claimed.","FACEBOOK, INC.","November 17, 2015","Peter Henry Martinazzi, Richard Kenneth Zadorozny, Jennifer A. Burge, Christian Xavier Dalonzo",20170142039,TECHNIQUES TO CONFIGURE THE NETWORK DISTRIBUTION OF MEDIA COMPOSITIONS FOR TRANSMISSION,Application,https://patents.justia.com/patent/20170142039
"Techniques for contact exploring are described. An apparatus may comprise a web component and a data retrieval component. The web component may be operative to receive a remote command from a web server, and to transmit a plurality of contacts to the web serve. The data retrieval component operative to retrieve the plurality of contacts from a contacts storage on the device in response to the received remote command. Other embodiments are described.","FACEBOOK, INC.","January 24, 2017","Vikas Gupta, Lior Tal",20170134491,TECHNIQUES FOR CONTACT EXPORTING,Application,https://patents.justia.com/patent/20170134491
"Techniques to transform network resource requests to zero rated network requests are described. Some embodiments are particularly directed to techniques transform network resource requests on a cellular network to zero rating by replacing the destination of the request with a zero-rated source for the network resource. In one embodiment, for example, an apparatus may comprise a data store and a network access component. The data store may be operative to store a plurality of zero-rating rewrite rules. The network access component may be operative to receive a network request from an application component on the mobile device, the network request for access to a network resource; compare the network resource to the plurality of zero-rating rewrite rules to identify a zero-rating rewrite rule matching the network resource; transform the network request to a zero-rated network request for the network resource using the identified zero-rating rewrite rule; and perform the zero-rated network request.","FACEBOOK, INC.","January 19, 2017","Shaheen A. Gandhi, Luiz Fernando Scheidegger, Breno Pompeu Roberto, Peter Avelino Ruibal, Marcus Erwin Schwartz",20170134179,TECHNIQUES TO TRANSFORM NETWORK RESOURCE REQUESTS TO ZERO RATED NETWORK REQUESTS,Application,https://patents.justia.com/patent/20170134179
"Techniques for graph based natural language processing are described. In one embodiment an apparatus may comprise a client service component operative on the processor circuit to receive a natural language user request from a device and to execute the natural language user request based on matched one or more objects and a social object relation component operative on the processor circuit to match the natural language user request to the one or more objects in an object graph, the object graph comprising token mappings for objects within the object graph, the token mappings based on data extracted from a plurality of interactions by a plurality of users of the network system, wherein the one or more objects are matched with the natural language user request based on the token mappings. Other embodiments are described and claimed.","FACEBOOK, INC.","January 20, 2017","Robert Franklin Daniel, Akash Guarav Gupta",20170132212,TECHNIQUES FOR GRAPH BASED NATURAL LANGUAGE PROCESSING,Application,https://patents.justia.com/patent/20170132212
"Techniques for graph based natural language processing are described. In one embodiment an apparatus may comprise a client service component operative on the processor circuit to receive a natural language user request from a device and to execute the natural language user request based on matched one or more objects and a social object relation component operative on the processor circuit to match the natural language user request to the one or more objects in an object graph, the object graph comprising token mappings for objects within the object graph, the token mappings based on data extracted from a plurality of interactions by a plurality of users of the network system, wherein the one or more objects are matched with the natural language user request based on the token mappings. Other embodiments are described and claimed.","FACEBOOK, INC.","January 20, 2017","Robert Franklin Daniel, Akash Guarav Gupta",20170132211,TECHNIQUES FOR GRAPH BASED NATURAL LANGUAGE PROCESSING,Application,https://patents.justia.com/patent/20170132211
