abstract,assignee,date_filed,date_issued,inventor,p_num,title,type,url
"In one embodiment, a computer server machine maintains a persistent real-time group chatroom comprising one or more participants. At any given time, zero or more participants are active in the group chatroom. The computer server machine receives one or more video streams associated with a video session associated with one or more users. The video streams are communicated from one or more client devices with each client device respectively associated with the one or more users. The computer server machine provides a notification to one or more non-active participants, wherein the one or more non-active participants are not active in the persistent real-time group chatroom.","FACEBOOK, INC.","December 30, 2016","July 24, 2018","Dwayne B. Mercredi, Chi Wang Ho, Pavol Mravec",10033963,Group video session,Grant,https://patents.justia.com/patent/10033963
"Methods, systems and apparatuses for selecting parameters of a beam are disclosed. One method includes selecting, by a network controller of a wireless network, coarse beam parameters of each of a plurality of antenna arrays of a first node or a second node of the wireless network based on one or more static parameters of the first node and the second node, selecting, by at least one of the first node or the second node of the wireless network, fine beam parameters of each of the plurality of antenna arrays of the first node or the second node based on perturbations to dynamic parameters of at least one wireless link between the first node and the second node, and forming at least one beam by at least one of the first node or the second node using the coarse beam parameters and the fine beam parameters.","FACEBOOK, INC.","April 4, 2016","July 17, 2018",Sanjai Kohli,10027386,Fine and coarse parameter beam forming,Grant,https://patents.justia.com/patent/10027386
"The disclosure is directed to data replication in a distributed computing system. The data, e.g., received from a client, is replicated to a first set of servers (“sync replica set”) synchronously and to a second set of servers asynchronously (“async tree”). A server can be a primary, secondary or a follower server. A sync replica set includes a primary server and one or more secondary servers. The async tree includes multiple follower servers deployed in a tree structure. A primary server can replicate the data to the secondary servers synchronously, and the secondary servers can replicate the data to one or more follower servers, e.g., a root node of the async tree, asynchronously. The root node then replicates the data to children of the root node, which then replicate to their children and so on until the leaf nodes of the async tree receive the data.","FACEBOOK, INC.","July 10, 2015","July 17, 2018","Muthukaruppan Annamalai, Zelaine Fong, Marc Alexander Celani, Vishal Kathuria, Sanketh Indarapu, Rohit Subhash Bhoj, Benjamin Francois Marie Renard, Sumeet Ungratwar",10027748,Data replication in a tree based server architecture,Grant,https://patents.justia.com/patent/10027748
"In various embodiments, a corpus of codecs may be correlated with different, partially overlapping ranges of transmission characteristics. As channel conditions degrade or improve, the system may select a new codec with which to continue the connection based upon the corresponding overlapping range. Codecs may not be switched immediately when the transmission characteristics enter overlapping ranges, to avoid degrading the user's experience. If the characteristics remain in the overlap, or manifest a likely progression toward another region, then the transition may be effected.","FACEBOOK, INC.","July 19, 2017","July 17, 2018","Naizhi Li, Parama Jyothi Reddappagari, Alex Narest",10027818,Seamless codec switching,Grant,https://patents.justia.com/patent/10027818
"In one embodiment, a method includes determining a geo-location of a first user; and identifying a second user that the geo-location of the first user is of interest to. The second user is identified based at least in part on a relationship between the first and second users. The method also includes sending to a mobile client computing device associated with the second user a notification associated with the geo-location of the first user.","FACEBOOK, INC.","November 20, 2012","July 17, 2018",Peter Xiu Deng,10028101,Predicted-location notification,Grant,https://patents.justia.com/patent/10028101
"In one embodiment, a method includes storing one or more content postings that each include data representative of one or more content instances, where each content posting is associated with one or more first users and each content posting is associated with a geographic location corresponding to a content creation event of the content posting. The method also includes selectively sending one or more of the content postings for display on an access device based on a past or present geographic location of the access device, where the access device is associated with a second user and for each content posting selectively sent for display on the access device, the geographic location associated with the content posting being within a predefined proximity of the past or present geographic location of the access device is requisite to the content posting being sent for display on the access device.","FACEBOOK, INC.","February 9, 2018","July 17, 2018","Kristopher T. Frazier, Brian F. Roberts, Donald H. Relyea",10027772,Location-based content aggregation and distribution,Grant,https://patents.justia.com/patent/10027772
"A media effects engine on a computer device applies one or more effects to an input media stream. A performance monitor monitors a performance metric associated with playing the input media stream and reduces a quality parameter associated with the effect upon detecting a drop in the performance metric below a target metric. The quality parameter manages a tradeoff between a quality of effect and an amount of hardware resources consumed to produce the effect. Thus, the effect can be adjusted to meet the capabilities of the computer device.","FACEBOOK, INC.","June 16, 2017","July 17, 2018","Hermes Germi Pique Corchs, Kirill A. Pugin, Razvan Gabriel Racasanu, Colin Todd Miller",10028022,Dynamic control of media effects based on hardware performance,Grant,https://patents.justia.com/patent/10028022
"Embodiments relate to, for a scene comprising a representation of at least one object and at least one sound source: obtaining a decomposition of the at least one object, the decomposition comprising at least one geometric component; modelling at least one interaction of the at least one object and the at least one sound source using the at least one geometric component; and, in dependence on the modelling of the at least one interaction, processing an audio input associated with the at least one sound source to obtain an audio output.","FACEBOOK, INC.","August 9, 2016","July 17, 2018","Abesh Thakur, Ross Taylor, Tobias Graham Fone Carpenter, Varun Nair",10028072,Audio system and method,Grant,https://patents.justia.com/patent/10028072
"Systems, methods, and non-transitory computer-readable media can determine a request to recover access to an account of a first user, the request being received from a computing device of a second user. A determination is made that the first user and the second user are recognized as social connections by a social networking system. The first user is authenticated through the computing device of the second user based at least in part on the first user and the second user being recognized as social connections. A login session is established between the computing system and the computing device of the second user upon authenticating the first user.","FACEBOOK, INC.","December 7, 2015","July 17, 2018","Dustin S. Ho, Dylan Frederick Ladwig",10027656,Systems and methods for user account recovery,Grant,https://patents.justia.com/patent/10027656
"A social networking system recommends pages or other objects to a user with which the user may establish a connection to receive content associated with an object. Candidate objects may be identified by the social networking system as objects connected to additional users who are connected to an object connected to the user. To recommend objects with which the user is likely to have an interest, the social networking system extracts one or more topics from the object connected to the user and from various candidate objects. Based on a topic graph, the social networking system determines measures of relatedness between topics extracted from various candidate objects and an object connected to the user. The measures of relatedness are then used to select one or more of the candidate objects to identify to the user.","FACEBOOK, INC.","January 5, 2015","July 17, 2018",Jason Eric Brewer,10027765,Recommending objects to a social networking system user based in part on topics associated with the objects,Grant,https://patents.justia.com/patent/10027765
"Systems, methods, and non-transitory computer-readable media can acquire real-time image data depicting at least a portion of a face of a user of a computing system (or device). The real-time image data can be analyzed to determine a state associated with at least the portion of the face. An emoji can be provided based on the state associated with at least the portion of the face. The emoji can be inputted in a communication to be made by the user.","FACEBOOK, INC.","November 16, 2015","July 17, 2018","Michael James Matas, Michael Waldman Reckhow, Yaniv Taigman",10025972,Systems and methods for dynamically generating emojis based on image analysis of facial features,Grant,https://patents.justia.com/patent/10025972
"Systems, methods, and non-transitory computer-readable media can obtain data corresponding to a first content item. The first content item can be rendered for display. The first content item can be presented through a display interface. A screenshot image of the display interface can be captured while the first content item is being presented. A determination is made whether the first content item was incompletely rendered based at least in part on the screenshot image.","FACEBOOK, INC.","December 21, 2017","July 17, 2018","Chih-Tang Chen, Xiaojun Liang, Maher Afif Saba",10026006,Systems and methods for analyzing rendered content,Grant,https://patents.justia.com/patent/10026006
"In one embodiment, a mobile computing device has a first processor and a second processor. The mobile device determines an operating condition of the mobile device, the operating condition being based on at least the current time of day, a current activity of a user associated with the mobile device, or a current proximity of the mobile device to a place connected to the user of the mobile device through an on-line social network. If the operating conditions of the mobile device are satisfied, the first processor of the mobile device sends a message to the second processor of the mobile device, the message causing the second processor to transition from a sleep state to an active state.","FACEBOOK, INC.","September 28, 2016","July 17, 2018","Matthew Nicholas Papakipos, Lev Popov, Iain Andrew Russell Proctor",10028224,Substantially continuous location logging for geographic-positioning capable devices,Grant,https://patents.justia.com/patent/10028224
"Embodiments are disclosed for improving cache or memory efficiency of a social network system. A method according to some embodiments includes steps of: receiving an instruction to improve cache or memory efficiency of social graph data of a social graph; generating based on the social graph a partitioning tree including multiple bottom-level buckets, the partitioning tree dividing the vertices of the social graph into the bottom-level buckets and ordering the bottom-level buckets such that a social network metric regarding the vertices is optimized; assigning user IDs to the vertices of the social network in a numerical sequence based on the ordering of the bottom-level buckets; storing the social graph data of the users in storage locations in an order according to the numeral sequence of the assigned user IDs of the vertices.","FACEBOOK, INC.","September 29, 2015","July 17, 2018","Igor Kabiljo, Laxman Dhulipala, Alon Michael Shalita, Arun Dattaram Sharma, Brian Christopher Karrer",10025867,Cache efficiency by social graph data ordering,Grant,https://patents.justia.com/patent/10025867
"Modular network switches and other computer systems are described herein. A modular network switch can include a latching device for installing and removing computer modules (e.g., line cards) from an associated cabinet or enclosure. The network switch can also include interconnected computer modules (e.g., line cards, fabric cards, control modules, etc.) that include circuit boards oriented parallel to the flow of cooling air through the cabinet in the absence of a backplane or midplane oriented perpendicular to the air flow. The absence of such backplanes and/or midplanes provides a more direct air flow path through the cabinet, thereby enabling a more efficient flow of cooling air and lower operating temperatures. Additionally, the network switch can include an orthogonal arrangement of data planes, control planes, and/or power planes that can be efficiently interconnected to increase operational speed and further facilitate the flow of cooling air through the computer cabinet.","FACEBOOK, INC.","October 12, 2016","July 17, 2018","Hans-Juergen Schmidtke, Zhiping Yao, Che Kin Leung, Xu Wang",10028417,"Modular network switches, associated structures, and associated methods of manufacture and use",Grant,https://patents.justia.com/patent/10028417
"In one embodiment, a method includes accessing, by one or more of the computing devices, one or more translations for each text string of a plurality of text strings; determining, by one or more of the computing devices, a priority value for each text string of the plurality of text strings, wherein the priority value for the text string is based on one or more reliability-values of the one or more translations for the text string; selecting, by one or more of the computing devices, a particular text string from the plurality of text strings based on its priority value; and sending, to a client system, instructions configured to present a translation prompt comprising the particular text string.","FACEBOOK, INC.","October 5, 2017","July 17, 2018",Luis Francisco Sarmenta,10025780,Crowdsourcing translations,Grant,https://patents.justia.com/patent/10025780
"In one embodiment, a method includes identifying a shared visual concept in visual-media items based on shared visual features in images of the visual-media items; extracting, for each of the visual-media items, n-grams from communications associated with the visual-media item; generating, in a d-dimensional space, an embedding for each of the visual-media items at a location based on the visual concepts included in the visual-media item; generating, in the d-dimensional space, an embedding for each of the extracted n-grams at a location based on a frequency of occurrence of the n-gram in the communications associated with the visual-media items; and associating, with the shared visual concept, the extracted n-grams that have embeddings within a threshold area of the embeddings for the identified visual-media items.","FACEBOOK, INC.","September 27, 2016","July 17, 2018","Dirk John Stoop, Balmanohar Paluri",10026021,Training image-recognition systems using a joint embedding model on online social networks,Grant,https://patents.justia.com/patent/10026021
"In particular embodiments, one or more computer systems of a social-networking system determine identities of one or more users in proximity to a display device and query a social graph of the social-networking system for social content associated with the determined identities. The social graph includes nodes and edges connecting the nodes. The nodes include user nodes that are each associated with a particular user of the social-networking system. The one or more computer systems of the social-networking system identify, using the social content, recommended media content for the one or more users in proximity to the display device and provide a playlist for display on the display device. The playlist includes the recommended media content for the one or more users in proximity to the display device.","FACEBOOK, INC.","April 24, 2017","July 17, 2018","Ime Archibong, Gregory Joseph Badros, Colin Cameron Brennan Campbell, David Harry Garcia, Mark Heynen, Brian Krausz, Cameron Alexander Marlow, Justin Alexander Shaffer, Michael John McKenzie Toksvig, Erick Tseng, Yoon Kean Wong",10028005,Sharing television and video programming through social networking,Grant,https://patents.justia.com/patent/10028005
"One variation of the first method includes: receiving a first gift order from a first sender through a social networking system, the first gift order specifying a recipient, a first merchant, and a first monetary value redeemable through the first merchant; issuing a tangible gift card to the recipient, the gift card linked to a gift account, of the recipient, within the social networking system; receiving a second gift order from a second sender through the social networking system, the second gift order specifying the recipient, a second merchant, and a second monetary value redeemable through the second merchant; linking the first and second monetary values to the gift account; and, in response to a first purchase from the first merchant with the gift card, publishing a detail of the first purchase to a feed within the social networking system in accordance with a privacy setting of the recipient.","FACEBOOK, INC.","March 15, 2013","July 10, 2018","Neville Bowers, Ramkumar Vaidyantathan, Soham Mazumdar, Patrick Linarducci, Lee Linden, Ted Zagat",10019766,"Method, medium, and system for enabling gift card transactions",Grant,https://patents.justia.com/patent/10019766
"In one embodiment, a computing device determines a communication to be sent to a client computing device. The communication could be a push notification or a keep-alive message from a social-networking system, the client computing device being associated with a user of the social-networking system. The computing device determines that a plurality of network connections already exists between the social-networking system and the client computing device, wherein at least one of the network connections is reserved for, and dedicated exclusively to, sending or receiving notifications or keep-alive messages. The computing device sends the communication to the client computing device using the reserved and dedicated network connection.","FACEBOOK, INC.","February 27, 2017","July 10, 2018","Matthew Nicholas Papakipos, David Harry Garcia",10021203,Managing notifications pushed to user devices,Grant,https://patents.justia.com/patent/10021203
"A method and a system for controlling a near eye display using a virtual navigation space are provided herein. The system may include: a wearable near eye display; a sensor having a field of view, attached to the wearable near eye display and configured to capture a scene; a transmitter attached to the wearable near eye display said transmitter is configured to transmit a structured light pattern onto a navigation space, wherein the sensor is configured to capture reflections of the specified pattern coming from the navigation space; and a computer processor configured to analyze said reflections and control a visual indicator presented to a user over the wearable near eye display. The method implements the aforementioned logic without being limited to the architecture.","FACEBOOK, INC.","August 7, 2014","July 10, 2018","Nadav Grossinger, Yair Alpem",10019843,Controlling a near eye display,Grant,https://patents.justia.com/patent/10019843
"A social networking system (SNS) may determine the integrity of a social application. In particular, the SNS can receive communications and tags associated with different subsets of the communications from the social application. Thereafter, the SNS can distribute the communications, and monitor for user interactions performed on the communications. Subsequently, feedback indicating the integrity of the social application can be provided. The feedback can be based on the user interactions performed on the communications. The feedback can also be provided according to the tags. In particular, a set of feedback information can be provided for each tag, where the set is based on the user interactions performed on the subset of communications associated with the tag. By providing feedback in this manner, A-B testing can be performed. In one embodiment, the operating state for the social application can be determined based on the integrity of the SNS.","FACEBOOK, INC.","June 27, 2012","July 10, 2018","Alex Himel, Gabriel Levi, Carl Philip Sjogreen, Wayne Kao",10019765,Determining and providing feedback about communications from an application on a social networking platform,Grant,https://patents.justia.com/patent/10019765
"A method and apparatus for fine-grained, trust-based rate limiting of network requests distinguishes trusted network traffic from untrusted network traffic at the granularity of an individual user/machine combination, so that network traffic policing measures are readily implemented against untrusted and potentially hostile traffic without compromising service to trusted users. A server establishes a user/client pair as trusted by issuing a trust token to the client when successfully authenticating to the server for the first time. Subsequently, the client provides the trust token at login. At the server, rate policies apportion bandwidth according to type of traffic: network requests that include a valid trust token are granted highest priority. Rate policies further specify bandwidth restrictions imposed for untrusted network traffic.","FACEBOOK, INC.","February 12, 2010","July 10, 2018",Christopher Newell Toomey,10021081,"Method and apparatus for trust-based, fine-grained rate limiting of network requests",Grant,https://patents.justia.com/patent/10021081
"A face tracking system generates a model for extracting a set of facial anchor points on a face within a portion of a face image based a multiple-level cascade of decision trees. The face tracking system identifies a mesh shape adjusted to an image of a face. For each decision tree, the face tracking system identifies an adjustment vector for the mesh shape relative to the image of the face. For each cascade level, the face tracking system combines the identified adjustment for each decision tree to determine a combined adjustment vector for the cascade level. The face tracking system modifies adjustment of the mesh shape to the face in the image based on the combined adjustment vector. The face tracking system reduces the model to a dictionary and atom weights using a learned dictionary. The model may be more easily transmitted to devices and stored on devices.","FACEBOOK, INC.","December 25, 2016","July 10, 2018",Evgeny Zatepyakin,10019651,Robust shape prediction for face alignment,Grant,https://patents.justia.com/patent/10019651
"An audio identification system generates a probe audio fingerprint of an audio signal and determines amount of pitch shifting in the audio signal based on analysis of correlation between the probe audio fingerprint and a reference audio fingerprint. The audio identification system applies a time-to-frequency domain transform to frames of the audio signal and filters the transformed frames. The audio identification system applies a two-dimensional discrete cosine transform (DCT) to the filtered frames and generates the probe audio fingerprint from a selected number of DCT coefficients. The audio identification system calculates a DCT sign-only correlation between the probe audio fingerprint and the reference audio fingerprint, and the DCT sign-only correlation closely approximates the similarity between the audio characteristics of the probe audio fingerprint and those of the reference audio fingerprint.","FACEBOOK, INC.","June 13, 2016","July 10, 2018","Sergiy Bilobrov, Maksim Khadkevich",10019998,Detecting distorted audio signals based on audio fingerprinting,Grant,https://patents.justia.com/patent/10019998
"In one embodiment, a method includes sending information to display a visual content; determining a scroll range for the visual content based on dimensions of the visual content; determining an origin position within the visual content from which the visual content is configured to be scrolled, wherein the origin position is determined based on a type of an application associated with the visual content; receiving an initial tilt measurement of a client computing device; receiving a second tilt measurement of the client computing device; determining a progress parameter based on at least the scroll range, the origin position, the initial tilt measurement, and the second tilt measurement; and sending information to scroll the visual content based on the progress parameter.","FACEBOOK, INC.","September 30, 2016","July 10, 2018","Michael Matas, Brian D. Amerige",10019147,Tilting to scroll,Grant,https://patents.justia.com/patent/10019147
"In one embodiment, an online social network accesses a social graph that includes a number of place-entity nodes each corresponding to a place-entity, and a number of user nodes each corresponding to a user. A heterogeneous graph is generated based on the place-entity nodes, user nodes, and n-gram nodes, each n-gram node corresponding to an n-gram in the name of at least one place-entity. Each n-gram node is connected to corresponding place-entity nodes containing the n-gram, and user nodes with a social networking interaction with the corresponding place-entity nodes. Each place-entity node is assigned an initial quality-score. The quality-scores are propagated through the redirection graph based on the connections between the place-entity nodes, the n-gram nodes, and the user nodes. A final quality-score is assigned to each place-entity node when the propagation of the quality-scores through the redirection graph reaches convergence.","FACEBOOK, INC.","June 24, 2016","July 10, 2018","Hongzhao Huang, Peng-Jen Chen, Justin Moore, Yaniv Shmueli",10019466,Identification of low-quality place-entities on online social networks,Grant,https://patents.justia.com/patent/10019466
"A user of a computing device may interact with and control objects and applications displayed on the computing device through the user's eye movement. Detected gaze locations are correlated with actions performed by the user and compared with typical gaze locations for those actions. Based on differences between the detected and expected gaze locations, the eye tracking system can be recalibrated. An area around a gaze location encompassing a set of likely active locations can be enlarged, effectively prompting the user to interact with the desired active location again. The enlarging of the area serves to separate the active locations on the screen, reducing the probability of interpreting the user's gaze incorrectly.","FACEBOOK, INC.","October 31, 2017","July 3, 2018","Javier San Augustin Lopez, Martin Henrik Tall, Benjamin Antoine Georges Lefaudeux, Henrik Hegner Tomra Skovsgaard",10013056,Dynamic eye tracking calibration,Grant,https://patents.justia.com/patent/10013056
"In one embodiment, a first computing device associated with a receiving user receives, from a second computing device, a reference of a first media session that has been initiated by a sharing user. The reference is displayed to the receiving user on a user interface of the first computing device. The first computing device receives user input requesting that the receiving user also participate in the first media session. The first computing device then receives from the second computing device information to initiate a second media session on the first computing device. The second media session is initiated at the same point in time that the first media session is currently at, and the second media session is synchronized with the first media session.","FACEBOOK, INC.","November 30, 2016","July 3, 2018","Alexandre Roche, Lincoln Hochberg, Vishu Gupta",10015210,Systems and methods for sharing of media sessions within a social network,Grant,https://patents.justia.com/patent/10015210
"In particular embodiments, a client computing device of a user provides for presentation a user interface that includes one or more components. The client computing device may receive an indication of a message to the user. The client computing device may automatically modify the user interface to accommodate presentation of an interactive element associated with the message. The client computing device may modify the user interface at least in part by automatically modifying one or more of the components. The client computing device may automatically provide for presentation the user interface as modified and the interactive element associated with the message.","FACEBOOK, INC.","July 18, 2016","July 3, 2018","Michael Matas, Brandon Marshall Walkin",10015121,Smart positioning of chat heads,Grant,https://patents.justia.com/patent/10015121
"Multimedia content is featured on user pages of an online social network using embed codes that are generated using a configuration file associated with the source ID for the multimedia content and a content ID for the multimedia content. The configuration file, the source ID and the content ID are stored locally by the online social network so that any changes to the embed codes can be made by changing the configuration file associated with the source and regenerating the embed codes. By managing multimedia content in this manner, greater control can be exercised by the online social network over the multimedia content that are featured on its user pages.","FACEBOOK, INC.","June 28, 2013","July 3, 2018","William K. Tiu, Jr., Jeffrey J. Roberto",10013399,Post-to-post profile control,Grant,https://patents.justia.com/patent/10013399
"In one embodiment, a method includes identifying a gesture made by a user of the computing device with respect to one or more surfaces of the computing device, the gesture comprising a single trajectory in three dimensions including: an earlier portion in a first direction along at least one of the surfaces; and immediately following the earlier portion of the single trajectory, a later portion in a second direction comprising a second series of points distant from the surfaces, wherein the second direction comprises a deflection from the first direction that follows through on the earlier portion of the single trajectory; determining a user input based at least in part on a speed of the gesture along the earlier portion of the single trajectory and a speed of the gesture along the later portion of the single trajectory; and executing one or more actions based on the user input.","FACEBOOK, INC.","November 9, 2016","July 3, 2018",Luke St. Clair,10013072,Three-dimensional gestures,Grant,https://patents.justia.com/patent/10013072
"Technology is provided for a device platform with a moveable conductor cover. The device platform includes a power tray, a power supply, and a device sled. The power tray includes a tray chassis having a pair of conductors extending along a portion of the tray chassis. The power tray includes a conductor cover moveable to cover and uncover the pair of conductors. The power supply is connected to the pair of conductors. The device sled is moveable relative to the pair of conductors between a powered position where the conductors are uncovered and an unpowered position where the conductors are covered. The device sled includes a sled chassis, a chassis panel mounted to the sled chassis, and a pair of conductive elements mounted on the chassis panel and positioned for sliding contact with the pair of conductors when the device sled is in the powered position.","FACEBOOK, INC.","June 9, 2017","July 3, 2018",Jon Brian Ehlen,10015903,High power safety sled,Grant,https://patents.justia.com/patent/10015903
