,album,artist,lyrics,song,sentiments
10,Shawn Mendes,Shawn Mendes,"Taste the poison from your lips
Lately, we're as good as gone
Oh, our love is drunk and it's
Singing me my favorite song

Me and you
We were made to break
I know that's true
But it's much too late

You're perfectly wrong for me
And that's why it's so hard to leave
Yeah, you're perfectly wrong for me
You're perfectly wrong for me
All the stars in the sky could see
Why you're perfectly wrong for me

Oh, you know how much it hurts
Every time you say you hate me
But when we're making love, you make it worth it
I can't believe the places that you take me

There's no use
We were made to break
I know the truth
And it's much too late

You're perfectly wrong for me
And that's why it's so hard to leave
Yeah, you're perfectly wrong for me
Oh, you're perfectly wrong for me
All the stars in the sky could see
Why you're perfectly wrong for me

Oh, and why can't I quit
When you break my heart open
I need you more than I know
Oh
And I can't resist
When you're up against my skin
I never want to let you go

You're perfectly wrong for me
And that's why it's so hard for me
Yeah, you're perfectly wrong for me, mhm
Yeah, you're perfectly wrong for me
Hate that you know that I won't leave
Yeah, you're perfectly wrong for me, oh
Yeah, you're perfectly wrong for me
And that's why it's so hard for me
Yeah, you're perfectly wrong for me, yeah
Oh, you're perfectly wrong for me
Hate that you know that I won't leave
Yeah, you're perfectly wrong for me
Yeah, you're perfectly wrong for me",Perfectly Wrong,"[{'score': 0.573378, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.953451, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
11,Shawn Mendes,Shawn Mendes,"Maybe I had too many drinks but that's just what I needed
I hope that you don't think that what I'm saying sounds conceited
When I look across the room and you're staring right back at me
Like somebody told the joke and we're the only ones laughin'

Don't know why I tried, 'cause ain't nobody like you
Familiar disappointment, every single time I do
And every single night my arms are not around you
My mind's still wrapped around you

Baby, tell me when you're ready
I'm waitin'
Baby, anytime you're ready
I'm waitin'
Even ten years from now if you haven't found somebody
I promise, I'll be around
Tell me when you're ready
I'm waitin'

What if my dad is right, and he says that you're the one
No, I can't even argue, I won't even fight him on it
Call you when it's late, and I know that you're on bed
'Cause I'm three hours back, seems like you're always six ahead

And I don't know why I tried, 'cause there ain't nobody like you
Familiar disappointment every single time I do
And every single night my arms are not around you
My mind's still wrapped around you

Baby, tell me when you're ready
I'm waitin'
Baby, anytime you're ready
I'm waitin'
Even ten years from now if you haven't found somebody
I promise, I'll be around
Tell me when you're ready
I'm waitin', yeah

And if I have to, I'll wait forever
Say the word, and I'll change my plans
Yeah, you know that we fit together
I know your heart like the back of my hand

So baby, tell me when you're ready
I'm waitin'
Baby, any time you're ready
I'm waitin', yeah
Even ten years from now if you haven't found somebody
I promise, I'll be around
Tell me when you're ready
I'm waitin', yeah
Baby, tell me when you're ready
I'm waitin'
Baby, any time you're ready
I'm waitin', oh
Even ten years from now if you haven't found somebody
I promise, I'll be around
Tell me when you're ready
I'm waitin', I'm waitin'",When You're Ready,"[{'score': 0.94688, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
12,Illuminate (Deluxe),Shawn Mendes,"I wanna follow her where she goes
I think about her and she knows it
I wanna let it take control
'Cause every time that she gets closer

She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

She says that she is never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we'd be all right
If you are by my side and we stumbled in the dark
I know we'd be all right, I know we'd be all right
'Cause if we lost our minds and we took it way too far
I know we'd be all right, I know we'd be all right
If you are by my side and we stumbled in the dark
I know we'd be all right, I know we'd be all right

Oh, I've been shaking
I love you when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back",There's Nothing Holdin' Me Back,"[{'score': 0.513976, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.637343, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
13,Illuminate (Deluxe),Shawn Mendes,"Do you... do you think about me?
And do you... do you feel the same way, yeah?
And do you... do you remember how we felt?
'Cause I do. So listen to me, baby.

And I'm not tryna ruin your happiness,
But, darling, don't you know that I'm the only one for you?
And I'm not tryna ruin your happiness, baby,
But, darling, don't you know that I'm the only one? Yeah.

Do you... do you think about me at all?
And do you... do you feel the same way?
Oh, tell me. babe.
And do you... do you remember how we felt?
'Cause I do. So listen to me now.

And I'm not tryna ruin your happiness,
But, darling, don't you know that I'm the only one for you?
And I'm not tryna ruin your happiness, baby,
But, darling, don't you know that I'm the only one

Do I ever cross your mind?
Do I ever cross your mind?
Do I ever cross your mind?
Do I ever cross your mind?

And I'm not tryna ruin your happiness,
But, darling, don't you know that I'm the only one for you?
And I don't wanna... and I don't wanna ruin your happiness, baby,
But, darling, don't you know that I'm the only one? Yeah.

Do I ever said... do I ever said... do I?
Do I ever said... do I ever said? Oh.
Do I ever... do I ever cross your mind?
I'm not tryna ruin your happiness at all.",Ruin,"[{'score': 0.67139, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.572331, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.547996, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.529715, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.781906, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
14,Illuminate (Deluxe),Shawn Mendes,"You've got a hold of me
Don't even know your power
I stand a hundred feet
But I fall when I'm around you

Show me an open door
Then you go and slam it on me
I can't take anymore
I'm saying baby

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy, mercy on my heart
Would you please have mercy, mercy on my heart

I'd drive through the night
Just to be near you, baby
Heart old and testified
Tell me that I'm not crazy

I'm not asking for a lot
Just that you're honest with me
My pride is all I got
I'm saying baby

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me
I'm a puppet on your string
And even though you got good intentions
I need you to set me free
Would you please have mercy, mercy on my heart
Would you please have mercy, mercy on my heart

Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me
I'm a puppet on your string
And even though you got good intentions
I need you to set me free

I'm begging you for mercy, mercy
(On my heart)Begging you, begging you, please, baby
I'm begging you for mercy, mercy
Ooh, I'm begging you, I'm begging you",Mercy,"[{'score': 0.601525, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
15,Illuminate (Deluxe),Shawn Mendes,"I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop

I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time on all your wasted crime
When you should be with me instead
I know I can treat you better
Better than he can

I'll stop time for you
The second you say you'd like me to
I just wanna give you the loving that you're missing
Baby, just to wake up with you
It'd be everything I need and this could be so different
Tell me what you want to do

'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time on all your wasted crime
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can

Give me a sign, take my hand, we'll be fine
Promise I won't let you down
Just know that you don't have to do this alone
Promise I'll never let you down

I know I can treat you better
I know I can treat you better
I know I can treat you better
Promise I'll never let you down

'Cause I know I can treat you better than he can
And any girl like you deserves a gentleman
Tell me why are we wasting time on all your wasted crime
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can
Better than he can
Better than he can",Treat You Better,"[{'score': 0.534773, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.565099, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.542463, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
16,Illuminate (Deluxe),Shawn Mendes,"I'll pick you up at the same time
At the same place, the same old drive
We'll just talk about our day
To try to fill the awkward space tonight

We'll play the songs we used to love
While we try to fall in love again
We don't know who's wrong or right
We don't even care enough to fight
We're going through the motions
'Cause we can't fix what's broken
And I know it's gonna hurt
But darling I'll go first
'Cause I won't keep on saying those three empty words
No, I won't keep on saying those three empty words

We're still talking everyday
I'm running out of things to say to ya
What's really gonna break my heart
Is to have to tell your little brother

It might be easier to stay
But it'll never be the same, no oh no
And if something doesn't change
Then we'll keep on sinking further

Oh, we're going through the motions
'Cause we can't fix what's broken
And I know it's gonna hurt
But darling I'll go first
'Cause I won't keep on saying those three empty words
Those three empty words
Will only make it worse
I'm tired, I can't take it anymore
Those three empty words
Will only make it worse
We tired, we can't take it anymore

We going through motions
'Cause we can't fix what's broken, no
And I know it's gonna hurt
But darling I'll go first
I won't keep on saying those three empty words
We don't have to keeping on saying those three empty words
No I can't keep on saying those three empty words",Three Empty Words,"[{'score': 0.776786, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.565661, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
17,Illuminate (Deluxe),Shawn Mendes,"You've got my heart
But I can't let you keep it, babe
'Cause I won't be sure that I can stay
And don't waste your time
Trying to pull me in
'Cause I'm just a mess
You don't wanna fix

Just promise me one thing that you won't forget
But for now kiss me softly before I say

And don't be a fool
And wait on me darling
I know that you don't wanna hear this
But I'm always on the move

And don't be a fool
And say that you love me
'Cause you'll find a man
Who will stand by your side
And will be there for you

And just know that I do
Oh I really like you babe
And I wanna be there for you
For the rest of your days
But I know that your hurt
If we keep on doing this
So I'm sorry to end this now
But I know that it's for the best

Don't be a fool
And wait on me darling, yeah
I know that you don't wanna hear this
But I'm always on the move

And don't be a fool, yeah
And say that you love me
'Cause you'll find a man
Who will stand by your side
And will be there for you

I don't think you'll ever understand
I don't think you'll ever understand
I know that you don't wanna hear this but darling please don't be a fool

Oh, don't be a fool, yeah
And wait on me darling
I know that you don't wanna hear this
But I'm always on the move

Yeah...
Just don't be a fool, yeah
And say that you love me, girl
'Cause you'll find a man
Who'll stand by your side
And will be there for you

And don't be a fool
And wait on me darling
I know that you don't wanna hear this
But don't be a fool",Don't Be A Fool,[]
18,Illuminate (Deluxe),Shawn Mendes,"They say it's not supposed to be
Tell me not to waste my time
This was never up to me
But if it was, I wouldn't mind
And I'm trying to ignore you
I try to go on with my day
But I still pick up the phone, yeah
And get lost in what you say

I can try to stop it all I like
Hands down, I've lost this fight
Thought I was strong enough for you
But I just can't hide the truth
So I guess I'm going down
I guess I'm going down like this

And I love it how she's honest
You don't find that nowadays
And she's not even drop dead gorgeous
But she kills me anyway

I can try to stop it all I like
Hands down, I've lost this fight
Thought I was strong enough for you
But I just can't hide the truth
I guess I'm going down
I guess I'm going down
I guess I'm going down like this

I can try to stop it all I like
Hands down, I've lost this fight
Thought I was strong enough for you
But I just can't hide the truth

I can try to stop it all I like
Hands down, I've lost this fight
And I thought I was strong enough for you
But I just can't hide the truth
I guess I'm going down like this",Like This,"[{'score': 0.62343, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
19,Illuminate (Deluxe),Shawn Mendes,"Staring out my hotel window
Too much on my mind
Maybe we should keep it simple
We don't have to decide

Oh no, we don't need to over-complicate it
'Cause I've been here once before, don't even say it

Baby, please no promises
'Cause we won't keep our promises
And I know the consequences
So baby, please
Baby, please no promises

I've never been a fan of heartbreak
So tell me what you want
Take my hands across your body
We don't have to hold on

Oh no, we don't need to over-complicate it
'Cause I've been here once before, don't even say it

Baby, please no promises
'Cause we won't keep our promises
And I know the consequences
So baby, please
Baby, please no promises

'Cause I've been living only for this moment
And I don't wanna let it slip away
I've been living only for this moment
And I don't know how much that I can take, yeah

Baby, please no promises
'Cause we won't keep our promises
And I know the consequences
So baby, please
Baby, please no promises
Yeah, baby, please no promises
Oh, baby, please no promises
Baby please, baby, please no promises",No Promises,[]
20,Illuminate (Deluxe),Shawn Mendes,"Damn, you look so good with your clothes on
And I'm not trying to come off too strong
But you know that I can't help it
'Cause girl you're beautiful

And I can't deny, I want your body
But I'm a gentleman so I'll be
The one who takes it slowly
'Cause girl you're so beautiful

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Hold you 'til the night's gone
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on, hey no

I like the vibe in this hotel room
And I'd really like to get to know you
Start discovering your secrets
Underneath these very sheets

Your skin's so perfect up against me
Your lips are talking when we don't speak
And I never wanna leave this
'Cause there's so much left to see

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Hold you 'til the night's gone
Darling, I wanna see every inch of you
I get lost in the way you move

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Hold you 'til the night's gone
Darling, I wanna see every inch of you
I get lost in the way you move

Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
And hold you 'til the night's gone
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Love you with the lights on
Love you with the lights on",Lights On,"[{'score': 0.8445, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.887357, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
